idx,Latitude ,longitude,dryseason,rainyseason,Dug wells,Date,desc
58,10.854278,-0.948944,"Rangelands,grasses,short shrubs,trees",,NA,6/6/2008,
59,10.870528,-0.940139,"Rangelands,grasses,short shrubs,trees",,NA,6/6/2008,
60,10.870806,-0.939083,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/6/2008,
61,10.874833,-0.933889,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:20%:rice:80,NA,6/6/2008,
62,10.881556,-0.933833,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-guinea corn:20%:rice:80,39,6/6/2008,
63,10.878111,-0.934083,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:20%:rice:80,15,6/6/2008,
64,10.883944,-0.931778,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",46,6/6/2008,
65,10.891500,-0.933444,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",29,6/6/2008,
66,10.905222,-0.938556,"Rangelands,grasses,bare soil,short shrubs,trees",,NA,6/6/2008,
67,10.915667,-0.940083,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/6/2008,
68,10.935389,-0.944111,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/6/2008,
69,10.911194,-0.889389,"Rainfed,fallow,LS,dry season",Rainyseason-millet:100%,NA,6/7/2008,
70,10.910389,-0.901833,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
71,10.936194,-0.908056,"Rangelands,grasses,short shrubs,trees",Rainyseason-guinea corn:100%,NA,6/7/2008,
72,10.938917,-0.913528,"Rainfed,fallow,MS,dry season",Rainyseason-guinea corn:20%:rice:80,NA,6/7/2008,
73,10.940222,-0.917583,"Rainfed,fallow,MS,dry season",Rainyseason-guinea corn:20%:rice:80,NA,6/7/2008,
74,10.939722,-0.918944,"Barrenlands,shortgrasses,trees",,NA,6/7/2008,
75,10.941556,-0.920722,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
76,10.943000,-0.919278,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:75%,millet:25%",NA,6/7/2008,
77,10.945472,-0.918500,"Barrenlands,shortgrasses,trees",,NA,6/7/2008,
78,10.945722,-0.916333,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:75%,millet:25%",NA,6/7/2008,
79,10.942083,-0.916528,"Rainfed,fallow,LS,dry season",Rainyseason-rice:100%,NA,6/7/2008,
80,10.941889,-0.918111,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",10,6/7/2008,
81,10.939111,-0.921472,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
82,10.947389,-0.931639,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
83,10.953333,-0.884944,"Rangelands,grasses,short shrubs,trees",,NA,6/7/2008,
84,10.954500,-0.897361,"Rainfed,fallow,LS,dry season",Rainyseason-guinea corn:100%,NA,6/7/2008,
85,10.955222,-0.898111,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
86,10.957667,-0.897944,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
87,10.958500,-0.901806,"Rainfed,fallow,LS,dry season",Rainyseason-millet:100%,NA,6/7/2008,
88,10.986306,-0.905000,"Rangelands,grasses,short shrubs,trees",,NA,6/7/2008,
89,10.978639,-0.906028,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
90,10.976222,-0.895639,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/7/2008,
91,10.977694,-0.889250,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:60%,millet:40%",NA,6/7/2008,
92,10.978222,-0.886972,"Rangelands,grasses,short shrubs,trees",,NA,6/7/2008,
93,10.982694,-0.903361,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/7/2008,
94,10.994694,-0.883556,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/7/2008,
95,11.014000,-0.868306,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
96,11.007528,-0.879194,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
97,11.010861,-0.886194,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
98,11.010917,-0.897389,"Rainfed,fallow,SS,dry season",Rainyseason-groundnut:100%,NA,6/7/2008,
99,11.017806,-0.891167,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
100,11.008444,-0.916417,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/7/2008,
101,10.983028,-0.917500,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
102,10.956556,-0.923389,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/7/2008,
103,10.857000,-0.905056,"Rangelands,grasses,short shrubs,trees",,NA,6/8/2008,
104,10.886889,-0.923833,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
105,10.888444,-0.927111,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:75%,millet:25%",NA,6/8/2008,
106,10.884833,-0.930250,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",100,6/8/2008,
107,10.883472,-0.930750,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC",Rainyseason-guinea corn:100%,NA,6/8/2008,
108,10.883389,-0.929972,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:75%,millet:25%",16,6/8/2008,
109,10.881917,-0.928361,"Shrublands,rocks,grasses,shortshrubs",,NA,6/8/2008,
110,10.877278,-0.930056,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/8/2008,
111,10.888694,-0.931972,"Rainfed,fallow,SS,dry season","Rainyseason-grounsnut:20%,guinea corn:80%",NA,6/8/2008,
112,10.890028,-0.932278,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
113,10.892222,-0.928028,"Rainfed,fallow,SS,dry season",Rainyseason-groundnut:100%,NA,6/8/2008,
114,10.894056,-0.932778,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
115,10.892944,-0.933417,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",20,6/8/2008,
116,10.893472,-0.933528,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",35,6/8/2008,
117,10.898778,-0.932028,"Rainfed,fallow,SS,dry season","Rainyseason-ricet:20%,guinea corn:80%",NA,6/8/2008,
118,10.899583,-0.933361,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-rice:100%,11,6/8/2008,
119,10.900056,-0.931861,"Rainfed,fallow,SS,dry season",Rainyseason-millet:100%,NA,6/8/2008,
120,10.902778,-0.925278,"Barrenlands,shortgrasses,trees",,NA,6/8/2008,
121,10.904889,-0.930750,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/8/2008,
122,10.906333,-0.929917,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-guinea corn:100%,35,6/8/2008,
123,10.906417,-0.930361,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",20,6/8/2008,
124,10.907417,-0.931500,"Irrigated,dryseason, dugout in river bed, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",30,6/8/2008,
125,10.914444,-0.931222,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",15,6/8/2008,
126,10.914611,-0.930194,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/8/2008,
127,10.914750,-0.930194,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
128,10.914722,-0.931444,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",100,6/8/2008,
129,10.916917,-0.933222,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",36,6/8/2008,
130,10.921028,-0.932167,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
131,10.923500,-0.929056,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
132,10.925944,-0.926694,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/8/2008,
133,10.930528,-0.927667,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/8/2008,
134,10.931306,-0.927889,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
135,10.932528,-0.930667,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",11,6/8/2008,
136,10.934333,-0.925000,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
137,10.961694,-0.935167,"Rainfed,fallow,MS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
138,10.961611,-0.935861,"Rangelands,grasses,short shrubs,trees",,NA,6/8/2008,
139,10.980278,-0.938889,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
140,10.974056,-0.934917,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
141,10.993917,-0.937500,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/8/2008,
142,10.837083,-0.980139,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-ricet:20%,guinea corn:80%",60,6/9/2008,
143,10.838139,-0.982306,"Irrigated,dryseason, dugout in river bed+shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:60%,millet:40%",10,6/9/2008,
144,10.839167,-0.982833,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-rice:100%,35,6/9/2008,
145,10.840333,-0.979333,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC",Rainyseason-rice:100%,NA,6/9/2008,
146,10.840306,-0.977694,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-ricet:20%,guinea corn:80%",45,6/9/2008,
147,10.843306,-0.971000,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:100%,15,6/9/2008,
148,10.843861,-0.972250,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",15,6/9/2008,
149,10.850833,-0.964694,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",25,6/9/2008,
150,10.849778,-0.958917,"Shrublands,rocks,grasses,shortshrubs",,NA,6/9/2008,
151,10.850944,-0.958944,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-guinea corn:100%,30,6/9/2008,
152,10.850500,-0.952556,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:60%,millet:40%",NA,6/9/2008,
153,10.851250,-0.945444,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:100%,10,6/9/2008,
154,10.853361,-0.943222,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-rice:100%,22,6/9/2008,
155,10.864000,-0.942194,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-rice:100%,28,6/9/2008,
156,10.859861,-0.931278,"Rainfed,fallow,LS,dry season",Rainyseason-rice:100%,NA,6/9/2008,
157,10.863250,-0.933250,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-rice:100%,100,6/9/2008,
158,10.866111,-0.927778,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/9/2008,
159,10.869556,-0.932444,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",20,6/9/2008,
160,10.869611,-0.933667,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",8,6/9/2008,
161,10.964167,-0.868056,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/9/2008,
162,10.962000,-0.883750,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/9/2008,
163,11.019528,-0.866972,"Shrublands,rocks,grasses,shortshrubs",,NA,6/9/2008,
164,11.025278,-0.873889,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/9/2008,
165,11.029417,-0.878444,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/9/2008,
166,11.036556,-0.890528,"Shrublands,rocks,grasses,shortshrubs",,NA,6/9/2008,
167,11.041722,-0.912583,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/9/2008,
168,11.038194,-0.935583,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/9/2008,
169,11.032417,-0.926250,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100%,NA,6/9/2008,
170,10.819972,-0.997528,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-rice:100%,50,6/11/2008,
171,10.822000,-0.995750,"Irrigated,dryseason, shallow GW, vegetables,MS,DC",Rainyseason-rice:100%,35,6/11/2008,
172,10.821889,-0.999333,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/11/2008,
173,10.823611,-0.995500,"Irrigated,dryseason, shallow GW, vegetables,MS,DC",Rainyseason-rice:100%,65,6/11/2008,
174,10.826972,-0.992194,"Irrigated,dryseason, shallow GW, vegetables,MS,DC",Rainyseason-rice:100%,25,6/11/2008,
175,10.815667,-0.980111,"Rainfed,fallow,SS,dry season",Rainy season-millet:100%,NA,6/11/2008,
176,10.813528,-0.982444,"Forest,trees,grasses,shrubs",,NA,6/11/2008,
177,10.816889,-0.991111,"Rangelands,grasses,short shrubs,trees",,NA,6/11/2008,
178,10.838111,-0.988222,"Rainfed,fallow,SS,dry season",Rainy season-millet:100%,NA,6/11/2008,
179,10.821417,-0.977778,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
180,10.853833,-0.983861,"Rangelands,grasses,short shrubs,trees",,NA,6/11/2008,
181,10.857139,-0.966250,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
182,10.872250,-0.968056,"Rainfed,fallow,SS,dry season",Rainyseason-groundnut:100%,NA,6/11/2008,
183,10.886222,-0.965083,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
184,10.908556,-0.957194,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
185,10.922500,-0.951722,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
186,10.930611,-0.935583,"Rangelands,grasses,short shrubs,trees",,NA,6/11/2008,
187,10.919611,-0.933861,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC","Rainyseason-rice:50%,millet:50%",NA,6/11/2008,
188,10.926667,-0.934944,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:100%,NA,6/11/2008,
189,10.931306,-0.934944,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/11/2008,
190,10.931083,-0.937667,"Rangelands,grasses,short shrubs,trees",,NA,6/11/2008,

